Name,Title,Departments,Research Keywords,Faculty Information,Office Room,Location,Website
A. Brinton Cooper III,Associate Research Professor,Electrical and Computer Engineering,Error control coding for noisy communications channels; wireless communications; applications of emerging signal processing schemes to communications problems. ,"Research Interests: 

o   Optical and wireless communications

      �  Massive MIMO

      �  Anomaly detection in wireless channels

o   Photonic physical layer security

o   Applications of error control coding ",Barton Hall 210,Barton Hall,https://pages.jh.edu/bcooper8/sigma_files/
A. Shoji Hall,Assistant Professor,Materials Science and Engineering,Materials for Energy,"Current Projects:
- Room Temperature Electrochemical Synthesis of Ordered Intermetallic Materials
Ordered intermetallic compounds (OICs), alloys with long range atomic ordering, exhibit important and useful properties for catalysis, electronics, corrosion/sintering resistance and other applications and are often superior to solid-solution alloys when in a nanostructured form. Despite decades of intense research, OIC nanoparticles have failed to replace conventional nanomaterials due to (1) lack of low-temperature synthetic methods which can overcome slow solid-state diffusion rates which inhibits atomic ordering, (2) inability to tune composition and phase to optimize the desired application, and (3) lack of fundamental understanding needed for progress on these issues. The Hall group is currently developing electrochemical methods (e.g. electrochemical dealloying, electrodeposition) to prepare nanostructured OICs at room temperature and atmospheric pressure. Our experimental program has laid the foundation for a fundamentally new approach for the synthesis of nanostructured OICs at room temperature. We will uncover meaningful trends that will enable us to link our insights to produce materials with tailored compositions, permitting the design of high-performance nanomaterials which are difficult to access by conventional methods.

- Electrochemically Mediated Renewable Energy Conversion
The Hall group investigates chemical reactions catalyzed by solid surfaces to address problems in renewable energy storage and utilization. We design ordered intermetallic materials interrogate their performance for mediating electrochemical reactions. Ordered intermetallic materials are advantageous over disordered alloys because they usually exhibit improved catalytic performance and stability. We also interrogate the adsorption dynamics of the metal-solution interface by Surface Enhanced Infrared Absorption Spectroscopy (SEIRAS) to understand how material structure and solvent play a role in controlling catalytic performance. We are interested in probing reactions such as fuel cell catalysis, electrochemical CO2 reduction, and electro-organic chemistry.",MD Hall 107,Wyman Quad,https://engineering.jhu.edu/hall/
Abdulgafoor Bachani,Associate Professor,International Health,Health Systems; Injuries; Disabilities; Health Economics; Road Safety; Trauma; Child Injuries; Africa; Asia; LMICs,"My research focuses on health systems, as well as developing and implementing innovative approaches to measuring the burden of and preventing injury and disabilities. I hold a particular interest in developing approaches for: 1) the measurement of disability and understanding the long-term health, economic, and societal consequences of injuries; 2) enhancing the generation and use of valid and reliable data for injury prevention in low-resource settings; 3) applying novel information and communication technology approaches to injury prevention and disability; and, 4) developing sustainable capacity for research and practice in the field of injury prevention.

As director of the Johns Hopkins International Injury Research Unit, I lead a diverse, multidisciplinary team of faculty and scientists to identify solutions, influence policy, and advance the field of injury prevention throughout the world.","615 N. Wolfe Street, Room 8646, Baltimore, Maryland 21205",615 N. Wolfe Street,
Abdullah Baqui,Professor,International Health,International Healthnewborn healthchild healthmaternal healthdiarrheapneumoniamalnutritioninfectious diseasesmicronutrientzincurban health,,"615 N. Wolfe Steet, Room E8153, Baltimore, Maryland 21205",615 N. Wolfe Street,
Abhai Tripathi,Senior Research Associate,Molecular Microbiology and Immunology,Anti malarial drug target identification and assay development; Cerebral Malaria Pathogenesis,,"615 N. Wolfe Street, Baltimore, Maryland 21205",615 N. Wolfe Street,
Abhay Moghekar,Associate Professor ,"Neurology,Neurosurgery,Otolaryngology - Head and Neck Surgery"," Biomarkers of Neurodegeneration Pathophysiology of CSF Disorders - hydrocephalus, intracranial hypertension and CSF leaks; Disorders of Cerebrospinal Fluid "," Dr. Abhay Moghekar's research interests focus on understanding the causes of normal pressure hydrocephalus, pseudotumor cerebri, intracranial pressure dynamics and the role of cerebrospinal fluid in Alzheimer's disease. ",MFL 5100; 5200 Eastern Ave,5200 Eastern Ave,
Abhi Datta,Associate Professor,Biostatistics,,"My research interests are diverse. One line of research focuses on methods for spatio-temporal data -- graphical models, spatial machine learning (Gaussian Processes and random forests), fast Bayesian algorithms for high-dimensional spatial data. These methods research usually emerge from my collaborations with researchers in areas of air pollution and environmental health. One exciting current project involves statistical calibration of hyper local air-pollution data from low-cost monitors.

I also work on hierarchical models, Bayesian machine learning and shrinkage (regularization) methods for complex survey-based datasets arising from epidemiological field work. Current applications include small area estimation using misaligned and partly-missing survey summaries, quantification learning of child mortality rates.

If you're interested in any of the areas and would like to discuss research or collaboration opportunities, feel free to email me or drop by my office.","615 N. Wolfe Street, Room E3640, Baltimore, Maryland 21205",615 N. Wolfe Street,https://abhidatta.com/
Adam Riess,Bloomberg Distinguished Professor ,Department of Physics & Astronomy," Observations of physical cosmology, primarily through the use of distance indicators like supernovae; measurements of dark energy and the expansion history of the universe using optical and near-infrared instruments from space and the ground","Pan-STARRS—the Panoramic Survey Telescope & Rapid Response System—is an innovative design for a wide-field imaging facility being developed at the University of Hawaii's Institute for Astronomy.

By combining relatively small mirrors with very large digital cameras we will be able to develop and deploy an economical observing system that will be able to observe the entire available sky several times each month.

The immediate goal of Pan-STARRS is to discover and characterize Earth-approaching objects, both asteroids & comets, which might pose a danger to our planet.

The huge volume of images produced by this system will provide valuable data for many other kinds of scientific programs. Click here for more Information.

A unique facet of Pan-STARRS is its ability to discover transient phenomena in the Universe, including approximately 10,000 new supernovae.

SHOES-Supernovae, HO, for the Equation of State of Dark energy
The present uncertainty in the value of the Hubble constant (resulting in an uncertainty in ΩM) and the paucity of Type Ia supernovae at redshifts exceeding 1 are now the leading obstacles to determining the nature of dark energy. We propose a single, integrated set of observations for Cycle 15 that will provide a 40% improvement in constraints on dark energy. This program will observe known Cepheids in six reliable hosts of Type Ia supernovae with NICMOS, reducing the uncertainty in H_0 by a factor of two because of the smaller dispersion along the instability strip, the diminished extinction, and the weaker metallicity dependence in the infrared. In parallel with ACS, at the same time the NICMOS observations are underway, we will discover and follow a sample of Type Ia supernovae at z > 1.

Together, these measurements, along with prior constraints from WMAP, will provide a great improvement in HST's ability to distinguish between a static, cosmological constant and dynamical dark energy. The Hubble Space Telescope is the only instrument in the world that can make these IR measurements of Cepheids beyond the Local Group, and it is the only telescope in the world that can be used to find and follow supernovae at z > 1. Our program exploits both of these unique capabilities of HST to learn more about one of the greatest mysteries in science.

Recent Research

PANS-Probing Acceleration Now with Supernovae
Type Ia supernovae (SNe Ia) provide the most direct evidence for an accelerating Universe, a result widely attributed to dark energy. Our on-going space-based survey (now called PANS) uses the Hubble Space Telescope to conduct a powerful and straightforward test of the new cosmological model. Observations of SNe Ia at z > 1 are expected to show evidence for a past epoch of cosmic deceleration, a clear signature of a mixed dark-matter and dark-energy Universe.

This survey also provides measurements of the evolution in supernova rates. This allows for alternative measures of the star formation rate history, and give insight on the plausible models for SN Ia progenitor models.

Understanding dark energy may be the biggest current challenge to cosmology and particle physics. To understand the nature of dark energy, we seek to measure its two most fundamental properties: its evolution (i.e., dw/dz), and its recent equation of state (i.e., w(z=0)). SNe Ia at z>1, beyond the reach of the ground but squarely within the reach of HST with ACS, are crucial to break the degeneracy in the measurements of these two basic aspects of dark energy. Here we propose double the precision of dark energy constraints. Should the current best fit model prove to be the correct one, the precision expected from the current proposal will suffice to rule out a cosmological constant at the 99% confidence level. Whatever the result, these objects will provide the basis with which to extend our empirical knowledge of this newly discovered and dominant component of the Universe, and will remain one of the most significant legacies of HST. In addition, our survey and follow-up data will greatly enhance the value of the archival data within the target Treasury fields for galaxy studies.",Bloomberg 207,Bloomberg Center,https://www.stsci.edu/~ariess/
Adam Sheingate,Professor,"Department of Political Science,Program in Social Policy,Racism, Immigration, and Citizenship Program,Institute for Data Intensive Engineering & Science (IDIES)"," American political development, historical institutionalism, comparative public policy",,335 Mergenthaler,Keyser Quad,
Adam Spira,Associate Professor,Mental Health,"Aging, sleep disturbances, anxiety, depression, Alzheimer's disease, cognitive decline, functional decline",,"624 N. Broadway, Hampton House 794, Baltimore, Maryland 21205",624 N. Broadway,
